,case,solver1,solver2,solver3
0,diff0.smt2,sat,sat,unsat
0,diff1.smt2,sat,sat,unsat
0,diff2.smt2,sat,sat,unsat
0,diff3.smt2,sat,sat,unsat
0,diff4.smt2,sat,sat,unsat
0,diff5.smt2,sat,sat,unsat
0,diff6.smt2,timeout,sat,unsat
0,diff7.smt2,timeout,sat,unsat
0,diff8.smt2,sat,unsat,unsat
0,diff9.smt2,timeout,sat,unsat
0,diff10.smt2,timeout,sat,unsat
0,diff11.smt2,timeout,sat,unsat
0,diff12.smt2,timeout,sat,unsat
0,diff13.smt2,timeout,sat,unsat
0,diff14.smt2,timeout,sat,unsat
0,diff15.smt2,timeout,sat,unsat
0,diff16.smt2,timeout,sat,unsat
0,diff17.smt2,sat,timeout,unsat
0,diff18.smt2,timeout,sat,unsat
0,diff19.smt2,timeout,sat,unsat
0,diff20.smt2,timeout,sat,unsat
0,diff21.smt2,timeout,sat,unsat
