,case,solver1,solver2,solver3,var_num,assert_num,nax_str_len,max_depth
0,z3str31.smt2,40.0,2.8443515300750732,40.0,8,4,9,3
0,z3str32.smt2,40.0,0.6757490634918213,40.0,8,4,10,3
0,z3str33.smt2,40.0,40.0,0.03377485275268555,8,4,0,3
0,z3str34.smt2,40.0,0.08685302734375,40.0,8,4,0,3
0,z3str35.smt2,40.0,40.0,0.142594575881958,8,4,6,3
0,z3str36.smt2,40.0,6.47433066368103,0.23585081100463867,8,4,3,3
0,z3str37.smt2,40.0,40.0,5.186872959136963,8,4,0,3
0,z3str38.smt2,40.0,0.03991532325744629,40.0,8,4,0,3
0,z3str39.smt2,40.0,0.24943757057189941,40.0,7,4,10,3
0,z3str310.smt2,40.0,0.0568690299987793,0.05175638198852539,8,4,0,3
0,z3str311.smt2,40.0,5.5011842250823975,0.09087324142456055,8,4,0,3
0,z3str312.smt2,40.0,0.11824703216552734,40.0,8,4,10,3
0,z3str313.smt2,40.0,0.11913633346557617,0.3443312644958496,8,4,4,3
0,z3str314.smt2,40.0,0.04922175407409668,0.04780936241149902,8,4,0,3
0,z3str315.smt2,40.0,0.05288529396057129,40.0,8,4,3,3
0,z3str316.smt2,40.0,0.0697469711303711,40.0,8,4,4,3
0,z3str317.smt2,40.0,0.1048269271850586,40.0,8,4,7,3
0,z3str318.smt2,40.0,0.7108283042907715,0.05380582809448242,7,4,8,3
0,z3str319.smt2,40.0,0.0915529727935791,40.0,8,4,0,3
0,z3str320.smt2,40.0,1.177321434020996,40.0,9,4,0,3
0,z3str321.smt2,40.0,0.04963564872741699,40.0,8,4,5,3
0,z3str322.smt2,40.0,40.0,0.3429238796234131,8,4,10,3
0,z3str323.smt2,40.0,0.0705573558807373,0.046271562576293945,6,4,10,3
0,z3str324.smt2,40.0,1.199558973312378,0.2257704734802246,8,4,8,3
0,z3str325.smt2,40.0,40.0,0.046881914138793945,8,4,0,3
0,z3str326.smt2,40.0,0.04078555107116699,0.041355133056640625,9,4,0,3
0,z3str327.smt2,40.0,0.4205021858215332,40.0,8,4,0,3
0,z3str328.smt2,40.0,0.6240034103393555,40.0,8,4,6,3
0,z3str329.smt2,40.0,40.0,11.818292379379272,8,4,3,3
0,z3str330.smt2,40.0,40.0,0.13121485710144043,8,4,0,3
0,z3str331.smt2,40.0,0.09098410606384277,0.12740397453308105,6,4,0,3
0,z3str332.smt2,40.0,0.5628209114074707,0.07806038856506348,8,4,10,3
0,z3str333.smt2,40.0,40.0,0.15074753761291504,8,4,10,3
0,z3str334.smt2,40.0,0.03743767738342285,40.0,8,4,0,3
0,z3str335.smt2,40.0,0.04324913024902344,0.05685853958129883,9,4,5,3
0,z3str336.smt2,40.0,0.04874086380004883,40.0,8,4,6,3
