,time,case_number
0,1125.7283248901367,6.0,0.0
0,2045.753450870514,10.0,0.0
0,3114.6024510860443,16.0,0.0
0,4190.7712960243225,19.0,0.0
0,5144.293695449829,24.0,0.0
0,6109.806065320969,28.0,0.0
0,7118.046859741211,32.0,0.0
0,8200.737480401993,37.0,0.0
0,9182.150987148285,41.0,0.0
0,10355.43128657341,45.0,0.0
0,11457.37315416336,48.0,0.0
0,12535.474284887314,52.0,0.0
0,13616.753943681717,55.0,0.0
0,14593.45840215683,60.0,0.0
0,15517.200031518936,64.0,0.0
0,16495.621788740158,68.0,0.0
0,17482.18192076683,72.0,0.0
0,18503.803656339645,77.0,0.0
0,19503.4277844429,80.0,0.0
0,20501.2081823349,84.0,0.0
0,21667.47011590004,88.0,0.0
0,22600.392155647278,91.0,0.0
0,23720.332981586456,94.0,0.0
0,24803.87961125374,97.0,0.0
0,25727.350661039352,102.0,0.0
0,26628.43214035034,105.0,0.0
0,27765.66934156418,110.0,0.0
0,28991.88955807686,113.0,0.0
0,30104.551061868668,118.0,0.0
0,31056.988167762756,124.0,0.0
0,32067.460000038147,131.0,0.0
0,33222.28421187401,136.0,0.0
0,34127.68214535713,139.0,0.0
0,35100.17441892624,143.0,0.0
0,36113.743055820465,146.0,0.0
0,37285.41746854782,150.0,0.0
0,38227.9506649971,153.0,0.0
0,39162.12844181061,156.0,0.0
0,40229.35346007347,159.0,0.0
0,41348.68653321266,163.0,0.0
0,42353.50809764862,168.0,0.0
0,43283.765679597855,170.0,1.0
0,44244.479053258896,173.0,0.0
0,45328.51829123497,177.0,0.0
0,46506.2968518734,185.0,0.0
0,47528.602483034134,188.0,0.0
0,48439.22365140915,192.0,0.0
0,49398.00025510788,197.0,0.0
0,50357.251135110855,202.0,0.0
0,51274.82988667488,207.0,0.0
0,52270.057745695114,212.0,0.0
0,53372.513729572296,217.0,0.0
0,54369.094601631165,221.0,0.0
0,55416.34037899971,227.0,0.0
0,56360.01645588875,231.0,0.0
0,57449.50197148323,237.0,0.0
0,58602.47976207733,241.0,0.0
0,59581.07403039932,245.0,0.0
0,60555.21132898331,248.0,0.0
0,61636.928859233856,253.0,0.0
0,62665.49305796623,258.0,0.0
0,63614.0670876503,262.0,0.0
0,64759.91153860092,267.0,0.0
0,65880.39675545692,271.0,0.0
0,66967.21310424805,274.0,0.0
0,67949.12777352333,278.0,0.0
0,69159.2452147007,282.0,0.0
0,70111.9504494667,289.0,0.0
0,71254.10300207138,293.0,0.0
0,72202.83617520332,295.0,0.0
0,73344.49773645401,299.0,0.0
0,74337.40855002403,301.0,1.0
0,75282.748421669,305.0,0.0
0,76313.85910272598,309.0,0.0
0,77317.91277551651,314.0,0.0
0,78333.50681138039,318.0,0.0
0,79289.62577342987,323.0,0.0
0,80204.92838335037,326.0,1.0
0,81244.66062903404,330.0,0.0
0,82366.80161523819,335.0,0.0
0,83520.47854399681,338.0,0.0
0,84538.93314623833,344.0,0.0
