"case","solver1","solver2","solver3"
"QF_S1.smt2",20,20,0.173138380050659
"QF_S2.smt2",20,0.702114343643189,20
"QF_S3.smt2",20,20,0.15071177482605
"QF_S4.smt2",10.2712752819061,0.057114362716675,0.050592422485352
"QF_S5.smt2",20,9.47516870498657,20
"QF_S6.smt2",20,1.35128283500671,0.102167129516602
"QF_S7.smt2",20,20,0.108322143554688
"QF_S8.smt2",20,8.88175845146179,0.653430700302124
"QF_S9.smt2",20,20,0.070024251937866
"QF_S10.smt2",20,20,18.2281084060669
"QF_S11.smt2",20,13.3822386264801,0.064310312271118
"QF_S12.smt2",20,20,3.09038472175598
"QF_S13.smt2",20,0.967011451721191,0.247685194015503
"QF_S14.smt2",14.7660627365112,0.981763362884522,0.136986494064331
"QF_S15.smt2",20,20,0.129260063171387
"QF_S16.smt2",20,9.8391125202179,20
"QF_S17.smt2",20,20,2.83469343185425
"QF_S18.smt2",20,20,0.483739376068115
"QF_S19.smt2",20,20,4.13242220878601
"QF_S20.smt2",20,0.964460611343384,20
"QF_S21.smt2",13.4141249656677,0.059076547622681,0.299739360809326
"QF_S22.smt2",20,20,0.772033214569092
"QF_S23.smt2",20,20,0.046750068664551
"QF_S24.smt2",20,0.212225914001465,0.129399538040161
"QF_S25.smt2",20,16.9559326171875,0.233292102813721
"QF_S26.smt2",20,1.46790981292725,0.166495323181152
"QF_S27.smt2",20,20,0.314185619354248
"QF_S28.smt2",20,0.090566396713257,0.543075561523438
"QF_S29.smt2",20,20,0.261535406112671
"QF_S30.smt2",20,20,0.132008075714111
"QF_S31.smt2",20,17.430276632309,0.694522857666016
"QF_S32.smt2",20,0.151815176010132,0.334422588348389
"QF_S33.smt2",20,0.598392486572266,0.340108871459961
"QF_S34.smt2",20,20,0.119155645370483
"QF_S35.smt2",20,20,4.93534636497498
"QF_S36.smt2",20,20,0.067446947097778
"QF_S37.smt2",20,1.61979222297668,20
"QF_S38.smt2",20,20,1.36170434951782
"QF_S39.smt2",12.2045834064484,0.050559759140015,0.059879302978516
"QF_S40.smt2",20,20,0.349244117736816
"QF_S41.smt2",20,20,4.66056871414185
"QF_S42.smt2",20,20,0.637064218521118
"QF_S43.smt2",20,20,4.90642380714417
"QF_S44.smt2",20,20,0.625301837921143
"QF_S45.smt2",20,1.35556054115295,0.788397550582886
"QF_S46.smt2",12.1699767112732,20,0.54103684425354
"QF_S47.smt2",20,1.39679598808289,4.61789083480835
"QF_S48.smt2",20,11.0369865894318,0.054076910018921
"QF_S49.smt2",20,0.195692777633667,10.0557086467743
"QF_S50.smt2",20,2.87616014480591,20
"QF_S51.smt2",20,2.43602657318115,20
"QF_S52.smt2",20,0.506409168243408,0.06564211845398
"QF_S53.smt2",20,20,0.103846311569214
"QF_S54.smt2",20,0.162972927093506,20
"QF_S55.smt2",18.5789015293121,0.151873111724854,20
"QF_S56.smt2",20,1.11446976661682,20
"QF_S57.smt2",20,20,0.555396318435669
"QF_S58.smt2",20,20,3.89750671386719
"QF_S59.smt2",20,20,0.127912044525146
"QF_S60.smt2",20,13.3104422092438,0.061645984649658
"QF_S61.smt2",20,20,1.19983649253845
"QF_S62.smt2",20,0.130122184753418,3.01014161109924
"QF_S63.smt2",20,20,0.063192129135132
"QF_S64.smt2",20,20,0.839008331298828
